pl_name,habitable
HD 29399 b,no (missing values)
HD 2952 b,no (missing values)
HD 30177 b,no (missing values)
HD 30177 c,no (missing values)
HD 30562 b,no (missing values)
HD 30669 b,no (missing values)
HD 30856 b,no (missing values)
HD 31253 b,no (missing values)
HD 31527 b,no (missing values)
HD 31527 c,no (missing values)
HD 31527 d,no (missing values)
HD 3167 b,no (missing values)
HD 3167 c,no (missing values)
HD 3167 d,no (missing values)
HD 32518 b,no (missing values)
HD 32963 b,no (missing values)
HD 330075 b,no (missing values)
HD 331093 b,no (missing values)
HD 33142 b,no (missing values)
HD 33142 c,no (missing values)
HD 332231 b,no (not in CHZ)
HD 33283 b,no (missing values)
HD 33564 b,no (missing values)
HD 33844 b,no (missing values)
HD 33844 c,no (missing values)
HD 34445 b,no (missing values)
HD 34445 c,no (missing values)
HD 34445 d,no (missing values)
HD 34445 e,no (missing values)
HD 34445 f,no (missing values)
HD 34445 g,no (missing values)
HD 35759 b,no (missing values)
HD 360 b,no (missing values)
HD 3651 b,no (missing values)
HD 37124 b,no (missing values)
HD 37124 c,no (missing values)
HD 37124 d,no (missing values)
HD 37605 b,no (missing values)
HD 37605 c,no (missing values)
HD 3765 b,no (missing values)
HD 38283 b,no (missing values)
HD 38529 b,no (missing values)
HD 38529 c,no (missing values)
HD 38801 b,no (missing values)
HD 39091 b,no (missing values)
HD 39194 b,no (missing values)
HD 39194 c,no (missing values)
HD 39194 d,no (missing values)
HD 39855 b,no (missing values)
HD 40307 b,no (missing values)
HD 40307 c,no (missing values)
HD 40307 d,no (missing values)
HD 40307 f,no (missing values)
HD 40307 g,no (missing values)
HD 40956 b,no (missing values)
HD 40979 b,no (missing values)
HD 41004 A b,no (missing values)
HD 41004 B b,no (missing values)
HD 4113 b,no (missing values)
HD 42012 b,no (missing values)
HD 4203 b,no (missing values)
HD 4203 c,no (missing values)
HD 4208 b,no (missing values)
HD 42618 b,no (missing values)
HD 4308 b,no (missing values)
HD 4313 b,no (missing values)
HD 43197 b,no (missing values)
HD 43691 b,no (missing values)
HD 44219 b,no (missing values)
HD 45184 b,no (missing values)
HD 45184 c,no (missing values)
HD 45350 b,no (missing values)
HD 45364 b,no (missing values)
HD 45364 c,no (missing values)
HD 45652 b,no (missing values)
HD 46375 b,no (missing values)
HD 47186 b,no (missing values)
HD 47186 c,no (missing values)
HD 4732 b,no (missing values)
HD 4732 c,no (missing values)
HD 47366 b,no (missing values)
HD 47366 c,no (missing values)
HD 47536 b,no (missing values)
HD 4760 b,no (missing values)
HD 48265 b,no (missing values)
HD 4917 b,no (missing values)
HD 49674 b,no (missing values)
HD 50499 b,no (missing values)
HD 50499 c,no (missing values)
HD 50554 b,no (missing values)
HD 51608 b,no (missing values)
HD 51608 c,no (missing values)
HD 52265 b,no (missing values)
HD 5278 b,no (not in CHZ)
HD 5278 c,no (missing values)
HD 5319 b,no (missing values)
HD 5319 c,no (missing values)
HD 55696 b,no (missing values)
HD 5583 b,no (missing values)
HD 5608 b,no (missing values)
HD 564 b,no (missing values)
HD 5891 b,no (missing values)
HD 59686 A b,no (missing values)
HD 60292 b,no (missing values)
HD 60532 b,no (missing values)
HD 60532 c,no (missing values)
HD 62509 b,no (missing values)
HD 63433 b,no (missing values)
HD 63433 c,no (missing values)
HD 63454 b,no (missing values)
HD 63765 b,no (missing values)
HD 63935 b,no (missing values)
HD 63935 c,no (missing values)
HD 64114 b,no (missing values)
HD 64121 b,no (missing values)
HD 6434 b,no (missing values)
HD 65216 b,no (missing values)
HD 65216 c,no (missing values)
HD 66141 b,no (missing values)
HD 66428 b,no (missing values)
HD 66428 c,no (missing values)
HD 67087 b,no (missing values)
HD 67087 c,no (missing values)
HD 6718 b,no (missing values)
HD 68402 b,no (missing values)
HD 68988 b,no (missing values)
HD 68988 c,no (missing values)
HD 69123 b,no (missing values)
HD 69830 b,no (missing values)
HD 69830 c,no (missing values)
HD 69830 d,no (missing values)
HD 70573 b,no (missing values)
HD 70642 b,no (missing values)
HD 7199 b,no (missing values)
HD 72490 b,no (missing values)
HD 72659 b,no (missing values)
HD 72892 b,no (missing values)
HD 73267 b,no (missing values)
HD 73526 b,no (missing values)
HD 73526 c,no (missing values)
HD 73534 b,no (missing values)
HD 73583 b,no (missing values)
HD 73583 c,no (missing values)
HD 74156 b,no (missing values)
HD 74156 c,no (missing values)
HD 7449 b,no (missing values)
HD 75289 b,no (missing values)
HD 75784 b,no (missing values)
HD 75784 c,no (missing values)
HD 75898 b,no (missing values)
HD 76700 b,no (missing values)
HD 76920 b,no (missing values)
HD 77338 b,no (missing values)
HD 79181 b,no (missing values)
HD 7924 b,no (missing values)
HD 7924 c,no (missing values)
HD 7924 d,no (missing values)
HD 79498 b,no (missing values)
HD 80606 b,no (not in CHZ)
HD 80653 b,no (missing values)
HD 80869 b,no (missing values)
HD 81040 b,no (missing values)
HD 81688 b,no (missing values)
HD 81817 b,no (missing values)
HD 82886 b,no (missing values)
HD 82943 b,no (missing values)
HD 82943 c,no (missing values)
HD 8326 b,no (missing values)
HD 83443 b,no (missing values)
HD 8535 b,no (missing values)
HD 85390 b,no (missing values)
HD 85512 b,no (missing values)
HD 8574 b,no (missing values)
HD 86081 b,no (missing values)
HD 86226 b,no (missing values)
HD 86226 c,no (not in CHZ)
HD 86264 b,no (missing values)
HD 8673 b,no (missing values)
HD 86950 b,no (missing values)
HD 87646 b,no (missing values)
HD 87883 b,no (missing values)
HD 88133 b,no (missing values)
HD 89307 b,no (missing values)
HD 89345 b,no (not in CHZ)
HD 89744 b,no (missing values)
HD 90156 b,no (missing values)
HD 9174 b,no (missing values)
HD 92788 b,no (missing values)
HD 92788 c,no (missing values)
HD 92987 b,no (missing values)
HD 93083 b,no (missing values)
HD 93385 b,no (missing values)
HD 93385 c,no (missing values)
HD 93385 d,no (missing values)
HD 9446 b,no (missing values)
HD 9446 c,no (missing values)
HD 94834 b,no (missing values)
HD 95086 b,no (missing values)
HD 95089 b,no (missing values)
HD 95089 c,no (missing values)
HD 95127 b,no (missing values)
HD 95338 b,no (not in CHZ)
HD 95544 b,no (missing values)
HD 95735 c,no (missing values)
HD 95872 b,no (missing values)
HD 96063 b,no (missing values)
HD 96127 b,no (missing values)
HD 96167 b,no (missing values)
HD 96700 b,no (missing values)
HD 96700 c,no (missing values)
HD 96700 d,no (missing values)
HD 96992 b,no (missing values)
HD 97048 b,no (missing values)
HD 97658 b,no (not in CHZ)
HD 98219 b,no (missing values)
HD 98649 b,no (missing values)
HD 98736 b,no (missing values)
HD 99109 b,no (missing values)
HD 99283 b,no (missing values)
HD 99492 b,no (missing values)
HD 99706 b,no (missing values)
HD 99706 c,no (missing values)
HIP 105854 b,no (missing values)
HIP 107772 b,no (missing values)
HIP 107773 b,no (missing values)
HIP 109384 b,no (missing values)
HIP 109600 b,no (missing values)
HIP 114933 b,no (missing values)
HIP 116454 b,no (missing values)
HIP 12961 b,no (missing values)
HIP 14810 b,no (missing values)
HIP 14810 c,no (missing values)
HIP 14810 d,no (missing values)
HIP 34222 b,no (missing values)
HIP 35173 b,no (missing values)
HIP 38594 b,no (missing values)
HIP 38594 c,no (missing values)
HIP 41378 b,no (missing values)
HIP 41378 c,no (missing values)
HIP 41378 d,no (missing values)
HIP 41378 e,no (missing values)
HIP 41378 f,no (missing values)
HIP 4845 b,no (missing values)
HIP 48714 b,no (missing values)
HIP 5158 b,no (missing values)
HIP 5158 c,no (missing values)
HIP 54373 b,no (missing values)
HIP 54373 c,no (missing values)
HIP 56640 b,no (missing values)
HIP 57274 b,no (missing values)
HIP 57274 c,no (missing values)
HIP 57274 d,no (missing values)
HIP 5763 b,no (missing values)
HIP 63242 b,no (missing values)
HIP 65 A b,no (not in CHZ)
HIP 65407 b,no (missing values)
HIP 65407 c,no (missing values)
HIP 65426 b,no (missing values)
HIP 65891 b,no (missing values)
HIP 67522 b,no (missing values)
HIP 67537 b,no (missing values)
HIP 67851 b,no (missing values)
HIP 67851 c,no (missing values)
HIP 70849 b,no (missing values)
HIP 71135 b,no (missing values)
HIP 74890 b,no (missing values)
HIP 75056 A b,no (missing values)
HIP 75092 b,no (missing values)
HIP 78530 b,no (missing values)
HIP 79098 AB b,no (missing values)
HIP 79431 b,no (missing values)
HIP 8541 b,no (missing values)
HIP 86221 b,no (missing values)
HIP 90988 b,no (missing values)
HIP 91258 b,no (missing values)
HIP 94235 b,no (missing values)
HIP 97166 b,no (missing values)
HIP 97166 c,no (missing values)
HIP 97233 b,no (missing values)
HN Peg b,no (missing values)
HR 2562 b,no (missing values)
HR 5183 b,no (missing values)
HR 810 b,no (missing values)
HR 858 b,no (missing values)
HR 858 c,no (missing values)
HR 858 d,no (missing values)
HR 8799 b,no (missing values)
HR 8799 c,no (missing values)
HR 8799 d,no (missing values)
HR 8799 e,no (missing values)
HU Aqr AB b,no (missing values)
HU Aqr AB c,no (missing values)
HW Vir b,no (missing values)
IC 4651 9122 b,no (missing values)
K2-10 b,no (not in CHZ)
K2-100 b,no (not in CHZ)
K2-101 b,no (missing values)
K2-102 b,no (missing values)
K2-104 b,no (missing values)
K2-105 b,no (missing values)
K2-107 b,no (missing values)
K2-108 b,no (not in CHZ)
K2-11 b,no (missing values)
K2-110 b,no (not in CHZ)
K2-111 b,no (not in CHZ)
K2-111 c,no (missing values)
K2-113 b,no (not in CHZ)
K2-114 b,no (not in CHZ)
K2-115 b,no (not in CHZ)
K2-116 b,no (missing values)
K2-117 b,no (missing values)
K2-117 c,no (missing values)
K2-118 b,no (missing values)
K2-119 b,no (missing values)
K2-12 b,no (missing values)
K2-120 b,no (missing values)
K2-121 b,no (missing values)
K2-122 b,no (missing values)
K2-123 b,no (missing values)
K2-124 b,no (missing values)
K2-125 b,no (missing values)
K2-126 b,no (missing values)
K2-127 b,no (missing values)
K2-128 b,no (missing values)
K2-129 b,no (missing values)
K2-13 b,no (missing values)
K2-130 b,no (missing values)
K2-131 b,no (missing values)
K2-132 b,no (missing values)
K2-133 b,no (missing values)
K2-133 c,no (missing values)
K2-133 d,no (missing values)
K2-133 e,no (missing values)
K2-136 b,no (missing values)
K2-136 c,no (missing values)
K2-136 d,no (missing values)
K2-137 b,no (missing values)
K2-138 b,no (missing values)
K2-138 c,no (missing values)
K2-138 d,no (missing values)
K2-138 e,no (missing values)
K2-138 f,no (missing values)
K2-138 g,no (missing values)
K2-139 b,no (missing values)
K2-14 b,no (missing values)
K2-140 b,no (not in CHZ)
K2-141 b,no (not in CHZ)
K2-141 c,no (missing values)
K2-146 b,no (not in CHZ)
K2-146 c,no (not in CHZ)
K2-147 b,no (missing values)
K2-148 b,no (missing values)
K2-148 c,no (missing values)
K2-148 d,no (missing values)
K2-149 b,no (missing values)
K2-15 b,no (missing values)
K2-150 b,no (missing values)
K2-151 b,no (missing values)
K2-152 b,no (missing values)
K2-153 b,no (missing values)
K2-154 b,no (missing values)
K2-154 c,no (missing values)
K2-155 b,no (missing values)
K2-155 c,no (missing values)
K2-155 d,no (missing values)
K2-156 b,no (missing values)
K2-157 b,no (missing values)
K2-158 b,no (missing values)
K2-158 c,no (missing values)
K2-159 b,no (missing values)
K2-16 b,no (missing values)
K2-16 c,no (missing values)
K2-160 b,no (missing values)
K2-161 b,no (missing values)
K2-162 b,no (missing values)
K2-163 b,no (missing values)
K2-164 b,no (missing values)
K2-165 b,no (missing values)
K2-165 c,no (missing values)
K2-165 d,no (missing values)
K2-166 b,no (missing values)
K2-167 b,no (missing values)
K2-168 b,no (missing values)
K2-169 b,no (missing values)
K2-17 b,no (missing values)
K2-170 b,no (missing values)
K2-170 c,no (missing values)
K2-171 b,no (missing values)
K2-172 b,no (missing values)
K2-172 c,no (missing values)
K2-173 b,no (missing values)
K2-174 b,no (missing values)
K2-175 b,no (missing values)
K2-176 b,no (missing values)
K2-177 b,no (missing values)
K2-178 b,no (missing values)
K2-179 b,no (missing values)
K2-18 b,no (not in CHZ)
K2-18 c,no (missing values)
K2-180 b,no (not in CHZ)
K2-181 b,no (missing values)
K2-182 b,no (not in CHZ)
K2-183 b,no (missing values)
K2-183 c,no (missing values)
K2-183 d,no (missing values)
K2-184 b,no (missing values)
K2-185 b,no (missing values)
K2-185 c,no (missing values)
K2-186 b,no (missing values)
K2-187 b,no (missing values)
K2-187 c,no (missing values)
K2-187 d,no (missing values)
K2-187 e,no (missing values)
K2-188 b,no (missing values)
K2-188 c,no (missing values)
K2-189 b,no (missing values)
K2-189 c,no (missing values)
K2-19 b,no (not in CHZ)
K2-19 c,no (missing values)
K2-19 d,no (missing values)
K2-190 b,no (missing values)
K2-190 c,no (missing values)
K2-191 b,no (missing values)
K2-192 b,no (missing values)
K2-193 b,no (missing values)
K2-194 b,no (missing values)
K2-195 b,no (missing values)
K2-195 c,no (missing values)
K2-196 b,no (missing values)
K2-197 b,no (missing values)
K2-198 b,no (missing values)
K2-198 c,no (missing values)
K2-198 d,no (missing values)
K2-199 b,no (not in CHZ)
K2-199 c,no (not in CHZ)
K2-200 b,no (missing values)
K2-201 b,no (missing values)
K2-201 c,no (missing values)
K2-202 b,no (missing values)
K2-203 b,no (missing values)
K2-204 b,no (missing values)
K2-205 b,no (missing values)
K2-206 b,no (missing values)
K2-207 b,no (missing values)
K2-208 b,no (missing values)
K2-209 b,no (missing values)
K2-21 b,no (missing values)
K2-21 c,no (not in CHZ)
K2-210 b,no (missing values)
K2-211 b,no (missing values)
K2-212 b,no (missing values)
K2-213 b,no (missing values)
K2-214 b,no (missing values)
K2-215 b,no (missing values)
K2-216 b,no (not in CHZ)
K2-217 b,no (missing values)
K2-218 b,no (missing values)
K2-219 b,no (missing values)
K2-219 c,no (missing values)
K2-219 d,no (missing values)
K2-22 b,no (missing values)
K2-220 b,no (missing values)
K2-221 b,no (missing values)
K2-222 b,no (missing values)
K2-223 b,no (missing values)
K2-223 c,no (missing values)
K2-224 b,no (missing values)
K2-224 c,no (missing values)
K2-225 b,no (missing values)
K2-226 b,no (missing values)
K2-227 b,no (missing values)
K2-228 b,no (missing values)
K2-229 b,no (missing values)
K2-229 c,no (missing values)
K2-230 b,no (missing values)
K2-231 b,no (missing values)
K2-232 b,no (not in CHZ)
K2-233 b,no (not in CHZ)
K2-233 c,no (not in CHZ)
K2-233 d,no (not in CHZ)
K2-237 b,no (not in CHZ)
K2-238 b,no (missing values)
K2-239 b,no (missing values)
K2-239 c,no (missing values)
K2-239 d,no (missing values)
K2-24 b,no (not in CHZ)
K2-24 c,no (not in CHZ)
K2-240 b,no (missing values)
K2-240 c,no (missing values)
K2-241 b,no (missing values)
K2-242 b,no (missing values)
K2-243 b,no (missing values)
K2-243 c,no (missing values)
K2-244 b,no (missing values)
K2-245 b,no (missing values)
K2-246 b,no (missing values)
K2-247 b,no (missing values)
K2-247 c,no (missing values)
K2-248 b,no (missing values)
K2-249 b,no (missing values)
K2-25 b,no (missing values)
K2-250 b,no (missing values)
K2-251 b,no (missing values)
K2-252 b,no (missing values)
K2-253 b,no (missing values)
K2-254 b,no (missing values)
K2-254 c,no (missing values)
K2-255 b,no (missing values)
K2-256 b,no (missing values)
K2-257 b,no (missing values)
K2-258 b,no (missing values)
K2-259 b,no (missing values)
K2-26 b,no (missing values)
K2-260 b,no (missing values)
K2-261 b,no (not in CHZ)
K2-263 b,no (not in CHZ)
K2-264 b,no (missing values)
K2-264 c,no (missing values)
K2-265 b,no (not in CHZ)
K2-266 b,no (missing values)
K2-266 c,no (not in CHZ)
K2-266 d,no (not in CHZ)
K2-266 e,no (not in CHZ)
K2-268 b,no (missing values)
K2-268 c,no (missing values)
K2-268 d,no (missing values)
K2-268 e,no (missing values)
K2-268 f,no (missing values)
K2-269 b,no (missing values)
K2-27 b,no (not in CHZ)
K2-270 b,no (missing values)
K2-270 c,no (missing values)
K2-271 b,no (missing values)
K2-272 b,no (missing values)
K2-273 b,no (missing values)
K2-274 b,no (missing values)
K2-275 b,no (missing values)
K2-275 c,no (missing values)
K2-276 b,no (missing values)
K2-277 b,no (missing values)
K2-278 b,no (missing values)
K2-279 b,no (missing values)
K2-28 b,no (missing values)
K2-280 b,no (missing values)
K2-281 b,no (missing values)
K2-282 b,no (missing values)
K2-283 b,no (missing values)
K2-284 b,no (missing values)
K2-285 b,no (missing values)
K2-285 c,no (missing values)
K2-285 d,no (missing values)
K2-285 e,no (missing values)
K2-286 b,no (missing values)
K2-287 b,no (missing values)
K2-288 B b,no (missing values)
K2-289 b,no (missing values)
K2-29 b,no (not in CHZ)
K2-290 b,no (missing values)
K2-290 c,no (missing values)
K2-291 b,no (not in CHZ)
K2-292 b,no (missing values)
K2-293 b,no (missing values)
K2-294 b,no (missing values)
K2-295 b,no (missing values)
K2-3 b,no (not in CHZ)
K2-3 c,no (not in CHZ)
K2-3 d,no (not in CHZ)
K2-30 b,no (not in CHZ)
K2-308 b,no (missing values)
K2-31 b,no (missing values)
K2-315 b,no (missing values)
K2-316 b,no (missing values)
K2-316 c,no (missing values)
K2-317 b,no (missing values)
K2-318 b,no (missing values)
K2-319 b,no (missing values)
K2-32 b,no (not in CHZ)
K2-32 c,no (missing values)
K2-32 d,no (missing values)
K2-32 e,no (missing values)
K2-320 b,no (missing values)
K2-321 b,no (missing values)
K2-322 b,no (missing values)
K2-323 b,no (missing values)
K2-324 b,no (missing values)
K2-325 b,no (missing values)
K2-326 b,no (missing values)
K2-329 b,no (not in CHZ)
K2-33 b,no (missing values)
K2-330 b,no (missing values)
K2-331 b,no (missing values)
K2-331 c,no (missing values)
K2-332 b,no (missing values)
K2-333 b,no (missing values)
K2-334 b,no (missing values)
K2-335 b,no (missing values)
K2-336 b,no (missing values)
K2-337 b,no (missing values)
K2-338 b,no (missing values)
K2-339 b,no (missing values)
K2-34 b,no (not in CHZ)
K2-340 b,no (missing values)
K2-341 b,no (missing values)
K2-342 b,no (missing values)
K2-343 b,no (missing values)
K2-343 c,no (missing values)
K2-344 b,no (missing values)
K2-345 b,no (missing values)
K2-346 b,no (missing values)
K2-347 b,no (missing values)
K2-348 b,no (missing values)
K2-348 c,no (missing values)
K2-349 b,no (missing values)
K2-35 b,no (missing values)
K2-35 c,no (missing values)
K2-350 b,no (missing values)
K2-350 c,no (missing values)
K2-351 b,no (missing values)
K2-352 b,no (missing values)
K2-352 c,no (missing values)
K2-352 d,no (missing values)
K2-353 b,no (missing values)
K2-354 b,no (missing values)
K2-355 b,no (missing values)
K2-356 b,no (missing values)
K2-357 b,no (missing values)
K2-358 b,no (missing values)
K2-36 b,no (not in CHZ)
K2-36 c,no (not in CHZ)
K2-365 b,no (missing values)
K2-366 b,no (missing values)
K2-367 b,no (missing values)
K2-368 b,no (missing values)
K2-368 c,no (missing values)
K2-368 d,no (missing values)
K2-369 b,no (missing values)
K2-37 b,no (missing values)
K2-37 c,no (missing values)
K2-37 d,no (missing values)
K2-370 b,no (missing values)
K2-371 b,no (missing values)
K2-372 b,no (missing values)
K2-373 b,no (missing values)
K2-374 b,no (missing values)
K2-374 c,no (missing values)
K2-375 b,no (missing values)
K2-376 b,no (missing values)
K2-377 b,no (missing values)
K2-378 b,no (missing values)
K2-379 b,no (missing values)
K2-38 b,no (missing values)
K2-38 c,no (missing values)
K2-380 b,no (missing values)
K2-381 b,no (missing values)
K2-381 c,no (missing values)
K2-381 d,no (missing values)
K2-382 b,no (missing values)
K2-383 b,no (missing values)
K2-384 b,no (missing values)
K2-384 c,no (missing values)
K2-384 d,no (missing values)
K2-384 e,no (missing values)
K2-384 f,no (missing values)
K2-385 b,no (missing values)
K2-386 b,no (missing values)
K2-387 b,no (missing values)
K2-388 b,no (missing values)
K2-389 b,no (missing values)
K2-389 c,no (missing values)
K2-39 b,no (missing values)
K2-390 b,no (missing values)
K2-391 b,no (missing values)
K2-392 b,no (missing values)
K2-393 b,no (missing values)
K2-394 b,no (missing values)
K2-395 b,no (missing values)
K2-395 c,no (missing values)
K2-396 b,no (missing values)
K2-396 c,no (missing values)
K2-397 b,no (missing values)
K2-398 b,no (missing values)
K2-398 c,no (missing values)
K2-399 b,no (missing values)
K2-4 b,no (missing values)
K2-400 b,no (missing values)
K2-401 b,no (missing values)
K2-402 b,no (missing values)
K2-403 b,no (missing values)
K2-404 b,no (missing values)
K2-405 b,no (missing values)
K2-406 b,no (missing values)
K2-407 b,no (missing values)
K2-407 c,no (missing values)
K2-408 b,no (missing values)
K2-409 b,no (missing values)
K2-42 b,no (missing values)
K2-43 b,no (missing values)
K2-43 c,no (missing values)
K2-44 b,no (missing values)
K2-45 b,no (missing values)
K2-46 b,no (missing values)
K2-47 b,no (missing values)
K2-48 b,no (missing values)
K2-49 b,no (missing values)
K2-5 b,no (missing values)
K2-5 c,no (missing values)
K2-50 b,no (missing values)
K2-52 b,no (missing values)
K2-53 b,no (missing values)
K2-54 b,no (missing values)
K2-55 b,no (missing values)
K2-57 b,no (missing values)
K2-58 b,no (missing values)
K2-58 c,no (missing values)
K2-58 d,no (missing values)
K2-59 b,no (missing values)
K2-59 c,no (missing values)
K2-6 b,no (missing values)
K2-60 b,no (not in CHZ)
K2-61 b,no (missing values)
K2-62 b,no (missing values)
K2-62 c,no (missing values)
K2-63 b,no (missing values)
K2-63 c,no (missing values)
K2-64 b,no (missing values)
K2-65 b,no (missing values)
K2-66 b,no (missing values)
K2-68 b,no (missing values)
K2-69 b,no (missing values)
K2-7 b,no (missing values)
K2-70 b,no (missing values)
K2-71 b,no (missing values)
K2-72 b,no (missing values)
K2-72 c,no (missing values)
K2-72 d,no (missing values)
K2-72 e,no (missing values)
K2-73 b,no (missing values)
K2-74 b,no (missing values)
K2-75 b,no (missing values)
K2-75 c,no (missing values)
K2-77 b,no (missing values)
K2-79 b,no (missing values)
K2-8 b,no (missing values)
K2-8 c,no (missing values)
K2-80 b,no (missing values)
K2-80 c,no (missing values)
K2-80 d,no (missing values)
K2-81 b,no (missing values)
K2-83 b,no (missing values)
K2-83 c,no (missing values)
K2-84 b,no (missing values)
K2-84 c,no (missing values)
K2-85 b,no (missing values)
K2-86 b,no (missing values)
K2-87 b,no (missing values)
K2-88 b,no (missing values)
K2-89 b,no (missing values)
K2-9 b,no (missing values)
K2-90 b,no (missing values)
K2-90 c,no (missing values)
K2-91 b,no (missing values)
K2-95 b,no (missing values)
K2-97 b,no (missing values)
K2-98 b,no (not in CHZ)
K2-99 b,no (missing values)
KELT-1 b,no (not in CHZ)
KELT-10 b,no (missing values)
KELT-11 b,no (not in CHZ)
KELT-12 b,no (not in CHZ)
KELT-14 b,no (not in CHZ)
KELT-15 b,no (not in CHZ)
KELT-16 b,no (not in CHZ)
KELT-17 b,no (missing values)
KELT-18 b,no (not in CHZ)
KELT-19 A b,no (missing values)
KELT-2 A b,no (missing values)
KELT-20 b,no (not in CHZ)
KELT-21 b,no (not in CHZ)
KELT-23 A b,no (not in CHZ)
KELT-24 b,no (not in CHZ)
KELT-3 b,no (not in CHZ)
KELT-4 A b,no (not in CHZ)
KELT-6 b,no (not in CHZ)
KELT-6 c,no (missing values)
KELT-7 b,no (not in CHZ)
KELT-8 b,no (not in CHZ)
KELT-9 b,no (not in CHZ)
KIC 10001893 b,no (missing values)
KIC 10001893 c,no (missing values)
KIC 10001893 d,no (missing values)
KIC 10068024 b,no (missing values)
KIC 10525077 b,no (missing values)
KIC 3558849 b,no (missing values)
KIC 5095269 b,no (missing values)
KIC 5437945 b,no (missing values)
KIC 5479689 b,no (missing values)
KIC 5951458 b,no (missing values)
KIC 7917485 b,no (missing values)
KIC 8121913 b,no (missing values)
KIC 8540376 b,no (missing values)
KIC 8540376 c,no (missing values)
KIC 9663113 b,no (missing values)
KMT-2016-BLG-0212L b,no (missing values)
KMT-2016-BLG-1107L b,no (missing values)
KMT-2016-BLG-1397L b,no (missing values)
KMT-2016-BLG-1820L b,no (missing values)
KMT-2016-BLG-1836L b,no (missing values)
KMT-2016-BLG-2142L b,no (missing values)
KMT-2016-BLG-2364L b,no (missing values)
KMT-2016-BLG-2397L b,no (missing values)
KMT-2016-BLG-2605L b,no (missing values)
KMT-2017-BLG-0165L b,no (missing values)
KMT-2017-BLG-1038L b,no (missing values)
KMT-2017-BLG-1146L b,no (missing values)
KMT-2017-BLG-2509L b,no (missing values)
KMT-2018-BLG-0029L b,no (missing values)
KMT-2018-BLG-0748L b,no (missing values)
KMT-2018-BLG-1025L b,no (missing values)
KMT-2018-BLG-1292L b,no (missing values)
KMT-2018-BLG-1743L b,no (missing values)
KMT-2018-BLG-1976L b,no (missing values)
KMT-2018-BLG-1988L b,no (missing values)
KMT-2018-BLG-1990L b,no (missing values)
KMT-2018-BLG-1996L b,no (missing values)
KMT-2019-BLG-0371L b,no (missing values)
KMT-2019-BLG-0842L b,no (missing values)
KMT-2019-BLG-1339L b,no (missing values)
KMT-2019-BLG-1715L b,no (missing values)
KMT-2019-BLG-1953L b,no (missing values)
KMT-2021-BLG-0322L b,no (missing values)
KMT-2021-BLG-0912L b,no (missing values)
KOI-12 b,no (missing values)
KOI-1257 b,no (missing values)
KOI-13 b,no (missing values)
KOI-142 b,no (not in CHZ)
KOI-142 c,no (missing values)
KOI-1599.01,no (missing values)
KOI-1599.02,no (missing values)
KOI-1783.01,no (failed Keplerian)
KOI-1783.02,no (not in CHZ)
KOI-1831 d,no (not in CHZ)
KOI-1833 d,no (not in CHZ)
KOI-217 b,no (missing values)
KOI-3503 b,no (not in CHZ)
KOI-3503 c,no (not in CHZ)
KOI-351 b,no (missing values)
KOI-351 c,no (missing values)
KOI-351 d,no (missing values)
KOI-351 e,no (missing values)
KOI-351 f,no (missing values)
KOI-351 g,no (missing values)
KOI-351 h,no (missing values)
KOI-3680 b,no (not in CHZ)
KOI-4777.01,no (missing values)
KOI-55 b,no (missing values)
KOI-55 c,no (missing values)
KOI-94 b,no (not in CHZ)
KOI-94 c,no (not in CHZ)
KOI-94 d,no (not in CHZ)
KOI-94 e,no (not in CHZ)
KPS-1 b,no (missing values)
Kapteyn c,no (missing values)
Kepler-10 b,no (not in CHZ)
Kepler-10 c,yes
Kepler-100 b,no (not in CHZ)
Kepler-100 c,no (missing values)
Kepler-100 d,no (missing values)
Kepler-1000 b,no (missing values)
Kepler-1001 b,no (missing values)
Kepler-1001 c,no (missing values)
Kepler-1002 b,no (missing values)
Kepler-1003 b,no (missing values)
Kepler-1004 b,no (missing values)
Kepler-1005 b,no (missing values)
Kepler-1006 b,no (missing values)
Kepler-1007 b,no (missing values)
Kepler-1008 b,no (missing values)
Kepler-1009 b,no (missing values)
Kepler-101 b,no (not in CHZ)
Kepler-101 c,no (not in CHZ)
Kepler-1010 b,no (missing values)
Kepler-1011 b,no (missing values)
Kepler-1012 b,no (missing values)
Kepler-1013 b,no (missing values)
Kepler-1014 b,no (missing values)
Kepler-1015 b,no (missing values)
Kepler-1016 b,no (missing values)
Kepler-1016 c,no (missing values)
Kepler-1017 b,no (missing values)
Kepler-1018 b,no (missing values)
Kepler-1019 b,no (missing values)
Kepler-102 b,no (missing values)
Kepler-102 c,no (missing values)
Kepler-102 d,no (not in CHZ)
Kepler-102 e,no (not in CHZ)
Kepler-102 f,no (missing values)
Kepler-1020 b,no (missing values)
Kepler-1021 b,no (missing values)
Kepler-1022 b,no (missing values)
Kepler-1023 b,no (missing values)
Kepler-1024 b,no (missing values)
Kepler-1025 b,no (missing values)
Kepler-1026 b,no (missing values)
Kepler-1027 b,no (missing values)
Kepler-1028 b,no (missing values)
Kepler-1029 b,no (missing values)
Kepler-103 b,no (not in CHZ)
Kepler-103 c,no (failed Keplerian)
Kepler-1030 b,no (missing values)
Kepler-1031 b,no (missing values)
Kepler-1032 b,no (missing values)
Kepler-1033 b,no (missing values)
Kepler-1034 b,no (missing values)
Kepler-1035 b,no (missing values)
Kepler-1036 b,no (missing values)
Kepler-1037 b,no (missing values)
